Komentar_Asli,Komentar_Labeling,Komentar_Bersih,Sentimen,Confidence_Score,Panjang_Karakter,Jumlah_Kata
Saya pake samsung M31 udah 6 tahun masih oke 😁,Saya pake samsung M31 udah 6 tahun masih oke 😁,pake samsung m31 tahun masih oke,Positif,74.33,46,10
"setelah bertahun2 pake samsung dari jaman galaxy young, akhirnya memilih move on dr samsung dan beralih ke vivo x300😊","setelah bertahun2 pake samsung dari jaman galaxy young, akhirnya memilih move on dr samsung dan beralih ke vivo x300😊",telah bertahun2 pake samsung jaman galaxy young akhir pilih move on samsung alih vivo x300,Positif,73.87,117,19
Gw yg nonton pake a54😌,Gw yg nonton pake a54😌,gw nonton pake a54,Negatif,47.73,22,5
Punya S22 baru pakai 2 tahun udah diserang 2 lightsiber... 😅,Punya S22 baru pakai 2 tahun udah diserang 2 lightsiber... 😅,punya s22 baru pakai tahun serang lightsiber,Negatif,99.19,60,11
"samsung a52 aku dr 2020/2021 gt baru tumbang 2026 krn keteledoran ku sih kena air itu juga wkwkwk jadinya lcd kena bisa disentuh tp lari2 kt klik apa keluar apa. body udah gompel2, layar ujung udah retak, backdrop udh lepas, tp kamera masih ttp okee??! 

cmn skrg aku ganti a57 ini krn urgent dan sesuai budget aku beli 12 gb/256 di harga 6,4jt. so far puas sih karena kebutuhan aku cmn hp daily aja bukan main game/konten. kek berasa jauh bgt upgradenya kalau dr a52 kameranya jernih, layar nyaman, dan PALING JUARA TUH FEEL DITANGAN bener kt mas david wkwkwk","samsung a52 aku dr 2020/2021 gt baru tumbang 2026 krn keteledoran ku sih kena air itu juga wkwkwk jadinya lcd kena bisa disentuh tp lari2 kt klik apa keluar apa. body udah gompel2, layar ujung udah retak, backdrop udh lepas, tp kamera masih ttp okee??! cmn skrg aku ganti a57 ini krn urgent dan sesuai budget aku beli 12 gb/256 di harga 6,4jt. so far puas sih karena kebutuhan aku cmn hp daily aja bukan main game/konten. kek berasa jauh bgt upgradenya kalau dr a52 kameranya jernih, layar nyaman, dan PALING JUARA TUH FEEL DITANGAN bener kt mas david wkwkwk",samsung a52 aku 2020 2021 gt baru tumbang 2026 karena teledor ku sih kena air juga wkwkwk jadi lcd kena sentuh lari2 kt klik apa keluar apa body gompel2 layar ujung retak backdrop lepas kamera masih ttp okee cmn skrg aku ganti a57 karena urgent sesuai budget aku beli 12 gb 256 harga 4jt so far puas sih karena butuh aku cmn handphone daily bukan main game konten kek asa jauh banget upgradenya a52 kamera jernih layar nyaman paling juara tuh feel tang bener kt mas david wkwkwk,Positif,94.15,560,100
"Nonton ini pake a57, enak enak aja dipegang lama juga ga bikin pegel, tipis, layar cakep, performa stabil.","Nonton ini pake a57, enak enak aja dipegang lama juga ga bikin pegel, tipis, layar cakep, performa stabil.",nonton pake a57 enak enak pegang lama juga tidak bikin gel tipis layar cakep performa stabil,Positif,99.6,106,18
Pengguna Samsung A56. Beli tahun ini under 7 juta. So far so good dan puas..,Pengguna Samsung A56. Beli tahun ini under 7 juta. So far so good dan puas..,guna samsung a56 beli tahun under juta so far so good puas,Positif,98.97,76,15
"BUAT TEMEN"" PLISSSS JAGA HP KALIAN JANGAN SAMPE RUSAKKKK... KALO KALIAN BELI HP TAHUN INI SANGAT TIDAK WORTH IT 😂😂","BUAT TEMEN"" PLISSSS JAGA HP KALIAN JANGAN SAMPE RUSAKKKK... KALO KALIAN BELI HP TAHUN INI SANGAT TIDAK WORTH IT 😂😂",buat temen plissss jaga handphone kalian jangan sampe rusakkkk kalian beli handphone tahun sangat tidak bagus,Negatif,97.35,114,20
Bng samsung a17,Bng samsung a17,bng samsung a17,Netral,93.16,15,3
"kelebihannya : memang bagus soal designnya,hp samsung kaya iphone modelnya.simple bgus.

kekurangannya : cuma pelit ram doang sama internalnya

beda sama poco ,ram sama internalnya gede.cocok buat game .
video 4k jg ok

cuma cpt panas aja itu doang kekurangannya 
semua hp memang ada plus minusnya 😂","kelebihannya : memang bagus soal designnya,hp samsung kaya iphone modelnya.simple bgus. kekurangannya : cuma pelit ram doang sama internalnya beda sama poco ,ram sama internalnya gede.cocok buat game . video 4k jg ok cuma cpt panas aja itu doang kekurangannya semua hp memang ada plus minusnya 😂",lebih memang bagus soal designnya handphone samsung kaya iphone model simple bgus kurang cuma pelit ram doang sama internal beda sama poco ram sama internal gede cocok buat game video 4k juga ok cuma cpt panas doang kurang semua handphone memang plus minus,Positif,67.31,299,47
saya kurang suka prosesornya bang aku lebih suka snapdragon nyaman aja,saya kurang suka prosesornya bang aku lebih suka snapdragon nyaman aja,kurang suka prosesor aku lebih suka snapdragon nyaman,Positif,70.22,70,11
"nonton teruuss beli kagak
rasa  pengen hp ini
pas lihat harga mundur😂",nonton teruuss beli kagak rasa pengen hp ini pas lihat harga mundur😂,nonton teruuss beli kagak rasa ken handphone pas lihat harga mundur,Negatif,97.19,69,12
"Jujur aku biasa pake oppo sama vivo series y baterai a57 berasa boros bgt emng, karena ga terlalu sering dipake tp turunnya cepet bgt. Emng beda kapasitas sih, vivoku 6700mah samsung 5000mah","Jujur aku biasa pake oppo sama vivo series y baterai a57 berasa boros bgt emng, karena ga terlalu sering dipake tp turunnya cepet bgt. Emng beda kapasitas sih, vivoku 6700mah samsung 5000mah",jujur aku biasa pake oppo sama vivo series baterai a57 asa boros banget emng karena tidak terlalu sering dipake turun cepet banget emng beda kapasitas sih vivoku 6700mah samsung 5000mah,Negatif,77.92,190,32
"Aku nonton ini pake A55, gak minat upgrade karena hape aku masih bagus banget 😂","Aku nonton ini pake A55, gak minat upgrade karena hape aku masih bagus banget 😂",aku nonton pake a55 tidak minat upgrade karena hape aku masih bagus banget,Positif,89.1,79,15
Bang coba compare in  a27 yang launching sekarang sama a37 sama a57 plese @gadegetin,Bang coba compare in a27 yang launching sekarang sama a37 sama a57 plese @gadegetin,coba compare in a27 launching sekarang sama a37 sama a57 plese gadegetin,Netral,52.66,84,14
"A50s ku udh matot stelah 8 tahun bersama 😂
Apakah ganti ke sini😮",A50s ku udh matot stelah 8 tahun bersama 😂 Apakah ganti ke sini😮,a50s ku matot stelah tahun sama apakah ganti sini,Negatif,84.85,64,13
bang David samsung m18 5g bang kalo udah keluar,bang David samsung m18 5g bang kalo udah keluar,david samsung m18 5g keluar,Negatif,54.44,47,9
nyimak pakai a52......wkkwkwk,nyimak pakai a52......wkkwkwk,nyimak pakai a52 wkkwkwk,Negatif,47.86,29,3
Sya pke a31 hpnya awet bgt smpe skg lho,Sya pke a31 hpnya awet bgt smpe skg lho,sya pke a31 hpnya awet banget smpe skg lho,Positif,99.18,39,9
Isu lightsiber bagaimana kak? Apalagi ini super amoled plus😢,Isu lightsiber bagaimana kak? Apalagi ini super amoled plus😢,isu lightsiber bagaimana kak apalagi super amoled plus,Positif,87.84,60,9
"Alhamdulillah saat ini aku masi mengutamakan fungsi, bukan GENGSI..;)","Alhamdulillah saat ini aku masi mengutamakan fungsi, bukan GENGSI..;)",alhamdulillah saat aku mas utama fungsi bukan gengsi,Positif,47.59,69,9
Banyak sekali-sekali review hp ku dong Oppo 57 jangan bahas bahas tentang dia kaya meniru Oppo a57 nggak,Banyak sekali-sekali review hp ku dong Oppo 57 jangan bahas bahas tentang dia kaya meniru Oppo a57 nggak,banyak sekali sekali review handphone ku dong oppo 57 jangan bahas bahas tentang dia kaya tiru oppo a57 tidak,Negatif,99.29,104,18
"Sempet liat hape punya pesantren yang A55 5G, aku diamanahin jadi bagian media, pas dipake ngedit enak, video nya smooth, jadi tertarik mau beli.

Pas di cek di store ternyata sudah sampai keluaran terbaru sudah A57 5G.

Menurut kalian aku harus beli yang terbaru atau yang A55 aja ya?","Sempet liat hape punya pesantren yang A55 5G, aku diamanahin jadi bagian media, pas dipake ngedit enak, video nya smooth, jadi tertarik mau beli. Pas di cek di store ternyata sudah sampai keluaran terbaru sudah A57 5G. Menurut kalian aku harus beli yang terbaru atau yang A55 aja ya?",sempet liat hape punya pesantren a55 5g aku diamanahin jadi bagi media pas dipake ngedit enak video smooth jadi tarik mau beli pas cek store nyata sampai keluar baru a57 5g turut kalian aku harus beli baru a55,Positif,93.63,285,49
Aku bangga aja pakai hp tablet SAMSUNG setelah soni ericson nokia motorola dll hilang,Aku bangga aja pakai hp tablet SAMSUNG setelah soni ericson nokia motorola dll hilang,aku bangga pakai handphone tablet samsung telah soni ericson nokia motorola dll hilang,Positif,97.67,85,14
mending beli ini apa second ip 13 buat kamera,mending beli ini apa second ip 13 buat kamera,mending beli apa second ip 13 buat kamera,Netral,87.13,45,9
Alhamdulillah sekarang nonton pakai A57 ❤,Alhamdulillah sekarang nonton pakai A57 ❤,alhamdulillah sekarang nonton pakai a57,Positif,63.66,41,6
nyesel beli samsung seri s. penyakitnya keluar garis pink. udah ganti lcd baru eh 2 tahun nongol lagi padahal hp ga pernah jatuh,nyesel beli samsung seri s. penyakitnya keluar garis pink. udah ganti lcd baru eh 2 tahun nongol lagi padahal hp ga pernah jatuh,nyesel beli samsung seri sakit keluar garis pink ganti lcd baru eh tahun nongol lagi padahal handphone tidak pernah jatuh,Negatif,99.81,128,23
Masih pake  J5Pro,Masih pake J5Pro,masih pake j5pro,Netral,92.24,17,3
Aku nonton dari yutub hp Samsung A57 baru ku,Aku nonton dari yutub hp Samsung A57 baru ku,aku nonton yutub handphone samsung a57 baru ku,Netral,98.95,44,9
Bentuknya membosankan,Bentuknya membosankan,bentuk bosan,Negatif,99.88,21,2
gw masih a53😊,gw masih a53😊,gw masih a53,Netral,72.38,13,3
Inti nya samsung ini kenyamanan pengguna daripada brand2 lain si,Inti nya samsung ini kenyamanan pengguna daripada brand2 lain si,inti samsung nyaman guna daripada brand2 lain si,Positif,81.45,64,10
Dijual gak bang itu bekas reviewnya? hehe,Dijual gak bang itu bekas reviewnya? hehe,jual tidak bekas reviewnya hehe,Negatif,62.68,41,7
nonton pakai A90 5g,nonton pakai A90 5g,nonton pakai a90 5g,Netral,95.11,19,4
Nonton video ini pake A52 yang baru Rusak Lcd setelah 6 tahun pemakaian😂,Nonton video ini pake A52 yang baru Rusak Lcd setelah 6 tahun pemakaian😂,nonton video pake a52 baru rusak lcd telah tahun pakai,Negatif,94.48,72,13
Kan a56 bisa sampe 2031 berarti ini bisa smape 2032?,Kan a56 bisa sampe 2031 berarti ini bisa smape 2032?,kan a56 sampe 2031 arti smape 2032,Netral,49.63,52,10
Nunggu second 2 jt,Nunggu second 2 jt,nunggu second jt,Negatif,71.06,18,4
"A57 8/128 beli Samsung official store toko orange 5,7 bang😍","A57 8/128 beli Samsung official store toko orange 5,7 bang😍",a57 128 beli samsung official store toko orange,Netral,95.6,59,10
"Males pake hp china, blm 1thn udh harus reset  di servicecenter dan semua data hilang","Males pake hp china, blm 1thn udh harus reset di servicecenter dan semua data hilang",males pake handphone china blm 1thn harus reset servicecenter semua data hilang,Negatif,99.51,85,15
Nonton ini dengan A33 😅,Nonton ini dengan A33 😅,nonton a33,Netral,51.46,23,5
"pake A50 sejak 2019, awal 2026 rusak kehujanan, kayanya saatnya ganti ke A57 kali ya","pake A50 sejak 2019, awal 2026 rusak kehujanan, kayanya saatnya ganti ke A57 kali ya",pake a50 sejak 2019 awal 2026 rusak hujan kaya saat ganti a57 kali,Negatif,95.94,84,15
"Samsung awet sih.. Masih pake S9+ satu2nya hape, sampe hari ini.. sudah 8 tahun.","Samsung awet sih.. Masih pake S9+ satu2nya hape, sampe hari ini.. sudah 8 tahun.",samsung awet sih masih pake s9 satu2nya hape sampe hari tahun,Positif,96.79,80,14
Nonton ini pake samsung a57. Semoga kalian dimudahkan juga membelinya aamiin,Nonton ini pake samsung a57. Semoga kalian dimudahkan juga membelinya aamiin,nonton pake samsung a57 moga kalian mudah juga bel aamiin,Positif,89.68,76,11
semoga bisa kebeli. amin yra,semoga bisa kebeli. amin yra,moga kebel amin yra,Positif,94.07,28,5
Kesini gara-gara Rizky Riplay yang Cowok Stalker,Kesini gara-gara Rizky Riplay yang Cowok Stalker,kesini gara gara rizky riplay cowok stalker,Negatif,99.78,48,7
di hkg $4000,di hkg $4000,hkg 4000,Netral,98.24,12,3
"bang david, saya tau harga samsung a57/6 beda jauh sama xiaomi redmi note 15 pro 5g, hanya ingin menanyakan mending a57/6 atau renot 15 pro 4g?","bang david, saya tau harga samsung a57/6 beda jauh sama xiaomi redmi note 15 pro 5g, hanya ingin menanyakan mending a57/6 atau renot 15 pro 4g?",david tau harga samsung a57 beda jauh sama xiaomi redmi note 15 pro 5g hanya ingin tanya mending a57 renot 15 pro 4g,Netral,58.26,143,26
"samsung paling anomali di baterai yg masih stuck di 5000 mah, padahal mereka duluan yg ngeluarin hp 7000 mah (Samsung M51) dan itu udah 6 tahun lalu. .
sekarang hp² lain udah nyusul, Samsung malah mundur. . --'","samsung paling anomali di baterai yg masih stuck di 5000 mah, padahal mereka duluan yg ngeluarin hp 7000 mah (Samsung M51) dan itu udah 6 tahun lalu. . sekarang hp² lain udah nyusul, Samsung malah mundur. . --'",samsung paling anomali baterai masih stuck 5000 mah padahal duluan ngeluarin handphone 7000 mah samsung m51 tahun lalu sekarang handphone lain nyusul samsung malah mundur,Negatif,96.66,210,38
"Gile dlu samsung A5 series 4.5jtaan pernah beli yg A5 2016, skrng udh kek flagship 7-8jt njirrrrrr makin nga ngotak samsung ksh harga","Gile dlu samsung A5 series 4.5jtaan pernah beli yg A5 2016, skrng udh kek flagship 7-8jt njirrrrrr makin nga ngotak samsung ksh harga",gile dlu samsung a5 series 5jtaan pernah beli a5 2016 skrng kek flagship 8jt njirrrrrr makin nga ngotak samsung ksh harga,Positif,82.9,133,23
"Ini hp agak kocak sih aku pake main game PUBG,, di setting perfome malah patah² FPS Drop bisa 40, di setting hemat daya malah lancar FPS stabil di 55-60 kadang malah bisa naik😂😂","Ini hp agak kocak sih aku pake main game PUBG,, di setting perfome malah patah² FPS Drop bisa 40, di setting hemat daya malah lancar FPS stabil di 55-60 kadang malah bisa naik😂😂",handphone agak kocak sih aku pake main game pubg setting perfome malah patah fps drop 40 setting hemat daya malah lancar fps stabil 55 60 kadang malah naik,Negatif,52.39,177,33
Tar jg hamil ari ari ❤,Tar jg hamil ari ari ❤,tar juga hamil ari ari,Netral,73.44,22,6
Saya masih menggunakan A22 5G di 2026. 😂,Saya masih menggunakan A22 5G di 2026. 😂,masih guna a22 5g 2026,Netral,94.9,40,8
"Baru beli a57 ditoko oren sehari lalu, gila toko offline ngejual dengan harta nggak ngotak dan gila gilaan mungkin karena isu pasokan ram dan storage yang lagi langka, bokap saya tahun lalu saya beliin a56 sekarang harganya makin naik hehe","Baru beli a57 ditoko oren sehari lalu, gila toko offline ngejual dengan harta nggak ngotak dan gila gilaan mungkin karena isu pasokan ram dan storage yang lagi langka, bokap saya tahun lalu saya beliin a56 sekarang harganya makin naik hehe",baru beli a57 toko oren hari lalu gila toko offline ngejual harta tidak ngotak gila gila mungkin karena isu pasok ram storage lagi langka bokap tahun lalu beliin a56 sekarang harga makin naik hehe,Positif,90.71,239,40
